City_Name,SampleSite_ID,SamplePoint_ID,SampleLayer_ID,Borehole_Ksat_cmhr,BoreholeMeasurementDepth_cm,UpperDepth_cm,LowerDepth_cm,Kunsat_cmh,Park_Name,Latitude,Longitude,Land_Use,Sample_Layer,Surface_Subsurface,Layer_Designation,Total_HorizonDepth_cm,HR_Depth,Horizon,Horizon_Simple,ParentMaterials,Color,Primary_Color,Hue,Value,Chroma,numeric_texture,Texture,Predicted_Sand,Predicted_silt,Predicted_clay,Percent_Sand,Percent_Silt,Percent_Clay,VC_Sand_Percent,C_Sand_Percent,M_Sand_Percent,F_Sand_Percent,VF_Sand_Percent,Percent_Rock_Fragment,pHpH_Res_entry,M3_P_ppm,M3_K_ppm,M3_Mg_ppm,M3_Ca_ppm,pH_Acidity_Index,M3_CEC,K_Saturation_Percent,Mg_Saturation_Percent,Ca_Saturation_Percent,Salts,Exchangeable_Na,Zinc_ppm,Copper_ppm,Sulfur_ppm,Percent_Carbon,Percent_Nitrogen
Cincinnati,CIS22,CIP45,CIS22CIP45L4,0.016156456,87,65,135,,,39.12,-84.56,FILL,4,Subsurface,HR 1,70,65,2Bt,B,,10YR 5/6; 10YR 4/4,10YR 5/6,10YR,5,6,NA,sic,#REF!,#REF!,#REF!,1.87,60.6,37.54,,,,,,0,7.94,24,121,175,5042.8,0,16.77,1.9,8.7,89.5,,,4.07,2.83,8.69,1.35,0.15
Cincinnati,CIS13,CIP27,CIS13CIP27L10,,,152,204,,,39.13,-84.57,FILL,10,Subsurface,HR 1,52,152,2C9,C,,10YR 5/6,10YR 5/6,10YR,5,6,NA,c,#REF!,#REF!,#REF!,2,43.28,54.73,,,,,,0,7.8,55,114,1359,5419.8,0,26.62,1.1,42.5,56.4,,,2.48,1.46,95.39,0.21,0.05
Cincinnati,CIS26,CIP52,CIS26CIP52L1,,,0,20,-0.028965517,Mayfield Park,34.12,-84.57,NATIVE,1,Surface,Surface,20,,A,A,Till/Residual,10YR 3/3,10YR 3/3,10YR,3,3,NA,sil,#REF!,#REF!,#REF!,2.98,73.86,23.16,,,,,,5,5.7,11,100,293,1738.4,5.1,16.49,1.6,14.8,52.7,,,2.59,2.43,15.05,2.56,0.27
Omaha,OS5,OP9,OS5OP9L4,0.03,234,122,345,,Gallagher,41.29,-96,,4,Subsurface,HR 1,223.52,121.92,Bt3,B,Aeolian,10YR 5/4,10YR 5/4,,,,NA,sicl,#REF!,#REF!,#REF!,3.1,66.3,30.6,,,,,,,7.2,25,203,662,2792,0,20,2.6,27.6,69.8,,,1,2.8,7.3,0.19,0.03
Omaha,OS4,OP8,OS4OP8L1,,,0,46,,Fontonelle,41.29,-95.98,,1,Surface,Surface,45.72,,A1,A,Aeolian,10YR 3/2,10YR 3/2,,,,NA,sic,#REF!,#REF!,#REF!,3.6,65.4,31,,,,,,,5.5,41,437,374,2778,6.3,24.4,4.6,12.8,56.9,,,2.1,2.4,28.6,2.35,0.22
Omaha,OS4,OP8,OS4OP8L3,0.182,157,122,193,,Fontonelle,41.29,-95.98,,3,Subsurface,HR 1,71.12,121.92,A3,A,Aeolian,10YR 4/3,10YR 4/3,,,,NA,sicl,#REF!,#REF!,#REF!,3.6,62.2,34.4,,,,,,,6.3,16,177,463,3300,2.2,21.5,2.1,17.9,69.7,,,0.3,2.9,17.3,0.97,0.09
Omaha,OS7,OP15,OS7OP15L2,0.758,91,61,122,,Hitchcock,41.21,-95.98,,2,Subsurface,HR 1,60.96,60.96,2A2,A,Aeolian,10YR 4/3,10YR 4/3,,,,NA,sicl,#REF!,#REF!,#REF!,3.6,62.4,34.1,,,,,,,6.3,22,207,515,3293,3.4,23.2,2.3,18.5,64.6,,,0.4,3.1,14.1,1.26,0.12
Cincinnati,CIS27,CIP54,CIS27CIP54L1,,,,,0.103448276,Mayfield Park,34.12,-84.57,NATIVE,1,Surface,Surface,,,1,,,,,,,,NA,sil,#REF!,#REF!,#REF!,3.61,71.74,24.65,,,,,,,7.15,14,84,506,2724.8,0,18.06,1.2,23.4,75.5,,,5.02,6.03,10.96,2.89,0.28
Omaha,OS2,OP3,OS2OP3L3,0.115,132,91,173,,Bemis,41.27,-95.96,,3,Subsurface,HR 1,81.28,91.44,Bt2,B,Aeolian,10YR 5/4,10YR 5/4,,,,NA,sicl,#REF!,#REF!,#REF!,3.7,66,30.3,,,,,,,8.1,17,190,728,3298,0,21.6,2.3,28.1,69.6,,,1.2,2.7,6.3,0.49,0.03
Cincinnati,CIS3,CIP6,CIS3CIP6L1,,,0,15,1.489655172,,39.13,-84.56,FILL,1,Surface,Surface,15,,^C1,C,Anthropogenic/Till/Residual,10YR 7/2,10YR 7/2,10YR,7,2,NA,sl,#REF!,#REF!,#REF!,3.81,95.8,0.39,,,,,,30,7.65,23,77,231,7947.8,0,17.12,1.2,11.2,87.6,,,16.29,6,12.8,10.06,0.17
Cincinnati,CIS21,CIP42,CIS21CIP42L4,0.032300199,90,55,170,,,39.12,-84.57,NATIVE,4,Subsurface,HR 1,115,55,2Bt1,B,,10YR 6/4,10YR 6/4,10YR,6,4,NA,sic,#REF!,#REF!,#REF!,3.92,52.91,43.17,,,,,,10,8.26,1,98,173,7343.9,0,16.69,1.5,8.6,89.9,,,0.92,1.34,15.88,0.98,0.05
Cincinnati,CIS33,CIP67,CIS33CIP67L1,,,,,0.351724138,Rapid Run Park,39.12,-84.59,NATIVE,1,Surface,Surface,,,1,,,,,,,,NA,sil,#REF!,#REF!,#REF!,3.98,69.15,26.86,,,,,,,5.5,74,136,211,2042.8,5.1,17.42,2,10.1,58.6,,,2.2,2.49,13.03,1.74,0.18
Omaha,OS11,OP23,OS11OP23L4,0.04,99,76,122,,Pine and 50th,41.24,-95.99,,4,Subsurface,HR 1,45.72,76.2,2Bt1,B,Aeolian,2.5Y 5/4,2.5Y 5/4,,,,NA,sicl,#REF!,#REF!,#REF!,4,63.9,32.1,,,,,,,7.4,10,171,581,2675,0,18.7,2.4,26,71.7,,,0.2,1.6,8.3,0.38,0.05
Cincinnati,CIS19,CIP38,CIS19CIP38L4,0.242742031,61,45,65,,,39.12,-84.56,NATIVE,4,Subsurface,HR 1,20,45,2Bt2,B,,10YR 6/4,10YR 6/4,10YR,6,4,NA,sil,#REF!,#REF!,#REF!,4.17,67.92,27.91,,,,,,0,7.44,13,93,318,3879.6,0,17.89,1.3,14.8,83.9,,,2.93,3.47,6.13,0.82,0.08
Omaha,OS6,OP13,OS6OP13L1,,,0,36,,Hanscom,41.24,-95.96,,1,Surface,Surface,35.56,,Ap,A,Aeolian,10YR 3/2,10YR 3/2,,,,NA,sicl,#REF!,#REF!,#REF!,4.3,66.5,29.2,,,,,,,6.7,42,370,405,3659,2,21.3,4.4,15.8,70.3,,,9.6,3,12.7,3.63,0.34
Cincinnati,CIS20,CIP40,CIS20CIP40L3,,,60,110,,,39.11,-84.57,NATIVE,3,Subsurface,HR 1,50,60,^C2u,C,,2.5Y 6/4,2.5Y 6/4,2.5Y,6,4,NA,sil,#REF!,#REF!,#REF!,5.31,53.46,41.22,,,,,,0,8.2,1,87,208,24113.8,0,16.96,1.3,10.2,88.5,,,1.05,0.97,19.55,2.35,0.05
Omaha,OS7,OP16,OS7OP16L1,,,0,25,,Hitchcock,41.21,-95.98,,1,Surface,Surface,25.4,,A1,A,Aeolian,10YR 3/2,10YR 3/2,,,,NA,sicl,#REF!,#REF!,#REF!,5.4,62.1,32.6,,,,,,,6.4,25,393,471,2549,2.8,20.5,4.9,19.2,62.2,,,3.5,2.7,14.9,2.16,0.22
Omaha,OS4,OP7,OS4OP7L2,0.079,91,41,142,,Fontonelle,41.29,-95.98,,2,Subsurface,HR 1,101.6,40.64,A2,A,Aeolian,10YR 3/3,10YR 3/3,,,,NA,sicl,#REF!,#REF!,#REF!,5.5,59.9,34.5,,,,,,,6.4,17,201,503,2563,3.4,20.9,2.5,20,61.2,,,0.3,3.1,27.4,1.24,0.11
Omaha,OS11,OP23,OS11OP23L5,,,122,229,,Pine and 50th,41.24,-95.99,,5,Subsurface,,106.68,,2Bt2,B,Aeolian,2.5Y 5/4,2.5Y 5/4,,,,NA,sicl,#REF!,#REF!,#REF!,5.8,64,30.2,,,,,,,7.4,8,174,524,2681,0,18.2,2.4,24,73.6,,,0.2,1.4,6.1,0.09,0.02
Omaha,OS14,OP30,OS14OP30L3,,,122,284,,Turner,41.25,-95.96,,3,Subsurface,HR 1,162.56,121.92,Bt2,B,Aeolian,10YR 4/6,10YR 4/6,,,,NA,sicl,#REF!,#REF!,#REF!,5.8,60.7,33.5,,,,,,,7.5,59,195,589,2978,0,20.3,2.5,24.2,73.4,,,0.7,2.6,7.2,0.37,0.05
Cincinnati,CIS23,CIP46,CIS23CIP46L1,,,0,35,0.043241379,,39.12,-84.58,NATIVE,1,Surface,Surface,35,,^C1u,C,Anthropogenic/Till/Residual,2.5Y 5/6,2.5Y 5/6,2.5Y,5,6,NA,sic,#REF!,#REF!,#REF!,5.84,53.62,40.54,,,,,,5,7.7,186,136,421,7091,0,18.86,1.8,18.6,79.5,,,9.21,3.28,32.08,1.15,0.09
Cincinnati,CIS16,CIP33,CIS16CIP33L5,0,76,42,110,,,39.13,-84.55,FILL,5,Subsurface,HR 1,68,42,2C4,C,,10YR 6/4,10YR 6/4,10YR,6,4,NA,sic,#REF!,#REF!,#REF!,5.86,57.6,36.54,,,,,,0,8.22,2,86,282,6640.5,0,17.57,1.3,13.4,85.4,,,1.4,1.23,11.52,1.4,0.05
Omaha,OS14,OP30,OS14OP30L2,0.7445,74,25,122,,Turner,41.25,-95.96,,2,Subsurface,HR 1,96.52,25.4,Bt1,B,Aeolian,10YR 4/4,10YR 4/4,,,,NA,sicl,#REF!,#REF!,#REF!,5.9,59.3,34.8,,,,,,,7.3,61,237,470,3145,0,19.5,3.1,20.1,76.8,,,1,4.1,8,0.95,0.08
Cleveland,CLS17,CLP33,CLS17CLP33L4,0.005723214,118,108,210,,,41.48,-81.63,FILL,4,Subsurface,HR 1,102,108,2C2,C,,10YR 5/4,10YR 5/4,10YR,5,4,NA,sicl,#REF!,#REF!,#REF!,6.14,68.01,25.85,,,,,,0,8,8,52,478,2390.95,0,19.12,0.7,20.8,78.5,,,1.3,1.7,15.5,0.32,0.06
Omaha,OS11,OP24,OS11OP24L4,0.484,117,71,163,,Pine and 50th,41.24,-95.99,,4,Subsurface,HR 1,91.44,71.12,Bt2,B,Aeolian,10YR 6/4,10YR 6/4,,,,NA,sicl,#REF!,#REF!,#REF!,6.2,60.1,33.7,,,,,,,7.8,22,213,1033,2694,0,22.6,2.4,38.1,59.5,,,0.3,1.9,5.5,0.07,0.02
Cincinnati,CIS2,CIP3,CIS2CIP3L4,16.9919422,82,55,180,,,39.13,-84.56,NATIVE,4,Subsurface,HR 1,125,55,^C4u,C,,10YR 4/6,10YR 4/6,10YR,4,6,NA,sil,#REF!,#REF!,#REF!,6.24,61.44,32.32,,,,,,0,7.4,87,230,313,5907.1,0,18.2,3.2,14.3,82.4,,,5.78,5.46,370.86,2.4,0.18
Cincinnati,CIS24,CIP48,CIS24CIP48L4,0.282737986,88,45,120,,,39.11,-84.57,NATIVE,4,Subsurface,HR 1,75,45,2Bt,B,,10R 4/4,10R 4/4,10YR,4,4,NA,c,#REF!,#REF!,#REF!,6.35,70.65,23,,,,,,10,8.06,30,73,154,6496.7,0,16.47,1.1,7.8,91.1,,,1.91,1.73,5.97,1.28,0.11
Omaha,OS9,OP20,OS9OP20L3,0.335,99,66,132,,Paxton,41.3,-95.97,,3,Subsurface,HR 1,66.04,66.04,2A1,A,Aeolian,10YR 2/2,10YR 2/2,,,,NA,sicl,#REF!,#REF!,#REF!,6.4,63.5,30.1,,,,,,,7.7,47,224,560,4368,0,20.2,2.8,23.1,74.1,,,5.5,4.9,9.6,2.22,0.18
Cleveland,CLS46,CLP93,CLS46CLP93L6,,,75,190,,,41.46,-81.63,FILL,6,Subsurface,HR 1,115,75,2R,R,,10YR 5/1,10YR 5/1,10YR,5,1,NA,**R,#REF!,#REF!,#REF!,6.47,63.6,29.93,,,,,,0,6.7,3,173,355,2483,2,17.8,2.5,16.6,69.7,,,11.5,6.3,290.8,1.08,0.09
Omaha,OS3,OP6,OS3OP6L2,1.14,114,15,213,,Dewey,41.26,-95.96,,2,Subsurface,HR 1,198.12,15.24,^C2,C,Anthropogenic,10YR 6/4,10YR 6/4,,,,NA,sicl,#REF!,#REF!,#REF!,6.5,63.2,30.3,,,,,,,7.8,21,186,663,2951,0,20.8,2.3,26.6,71.1,,,7.2,3.1,73.1,0.33,0.03
Cincinnati,CIS14,CIP28,CIS14CIP28L4,0.030992031,89,30,210,,,39.13,-84.55,NATIVE,4,Subsurface,HR 1,180,30,2C2,C,,2.5Y 6/4; 2.5Y 6/2,2.5Y 6/4,2.5Y,6,4,NA,sicl,#REF!,#REF!,#REF!,6.52,58.12,35.36,,,,,,15,7.99,3,76,106,9165.2,0,16.08,1.2,5.5,93.3,,,0.89,1.49,25.84,1.19,0.05
Cincinnati,CIS13,CIP26,CIS13CIP26L1,,,0,10,0.103448276,,39.13,-84.57,NATIVE,1,Surface,Surface,10,,^Au,A,Anthropogenic/Till/Residual,10YR 4/6,10YR 4/6,10YR,4,6,NA,sil,#REF!,#REF!,#REF!,6.68,51.82,41.51,,,,,,20,7.89,40,146,562,7376.6,0,20.06,1.9,23.3,74.8,,,9.63,6.93,15.97,2.65,0.2
Omaha,OS6,OP14,OS6OP14L5,0.121,147,132,163,,Hanscom,41.24,-95.96,,5,Subsurface,HR 1,30.48,132.08,2Bt1,B,Aeolian,10YR 6/4,10YR 6/4,,,,NA,sicl,#REF!,#REF!,#REF!,6.9,56.4,36.7,,,,,,,7.5,50,222,737,2910,0,21.3,2.7,28.9,68.4,,,1,3.4,7.5,0.39,0.05
Omaha,OS15,OP32,OS15OP32L1,,,0,33,,Upland,41.2,-95.96,,1,Surface,Surface,33.02,,Ap,A,Aeolian,10YR 3/2,10YR 3/2,,,,NA,c,#REF!,#REF!,#REF!,7,37.5,55.5,,,,,,,6.8,44,630,737,3989,0,22.8,7.1,27,65.9,,,20.8,6.5,12.6,1.94,0.19
Cincinnati,CIS17,CIP34,CIS17CIP34L3,0.007755876,93,35,130,,,39.12,-84.55,NATIVE,3,Subsurface,HR 1,95,35,C1,C,,2.5Y 6/6,2.5Y 6/6,2.5Y,6,6,NA,c,#REF!,#REF!,#REF!,7.03,49.66,43.31,,,,,,10,8.13,3,91,295,9239.4,0,17.69,1.3,13.9,84.8,,,1.39,1.34,15.56,1.24,0.05
Omaha,OS8,OP17,OS8OP17L2,0.4785,89,36,142,,Leavenworth,41.25,-95.96,,2,Subsurface,HR 1,106.68,35.56,^C,C,Anthropogenic,10YR 6/4,10YR 6/4,,,,NA,sicl,#REF!,#REF!,#REF!,7.2,61.2,31.6,,,,,,10,7.8,70,241,554,3690,0,20.2,3.1,22.8,74.1,,,20.4,5.7,14,1.35,0.11
Cincinnati,CIS19,CIP38,CIS19CIP38L1,,,0,20,0.6,,39.12,-84.56,NATIVE,1,Surface,Surface,20,,^C1u,C,Anthropogenic/Till/Residual,10YR 4/4; 10YR 5/6,10YR 4/4,10YR,4,4,NA,sil,#REF!,#REF!,#REF!,7.33,65.19,27.49,,,,,,25,7.84,16,127,411,4827.2,0,18.75,1.7,18.3,80,,,12.34,5.71,12.4,2.26,0.17
Cincinnati,CIS11,CIP22,CIS11CIP22L4,0.011040952,94,,,,,39.13,-84.54,NATIVE,2,Subsurface,HR 1,,0,4,,,,,,,,NA,sicl,#REF!,#REF!,#REF!,7.5,52.75,39.75,,,,,,,8.22,1,87,469,9275.8,0,19.13,1.2,20.4,78.4,,,1.17,1.77,23.24,1.86,0.05
Cleveland,CLS26,CLP51,CLS26CLP51L4,0.009740554,110,76,112,,,41.45,-81.63,FILL,4,Subsurface,HR 1,36,76,3Cg,C,,10YR 6/2; 10YR 5/8,10YR 6/2,10YR,6,2,NA,sil,#REF!,#REF!,#REF!,7.57,48.91,43.52,,,,,,10,8.3,1,66,668,2784.98,0,20.74,0.8,26.8,72.3,,,0.8,1.1,28.2,0.61,0.08
Cincinnati,CIS13,CIP26,CIS13CIP26L4,2.603330635,83,70,110,,,39.13,-84.57,NATIVE,4,Subsurface,,40,,^C3u,C,,2.5Y 6/4,2.5Y 6/4,2.5Y,6,4,NA,sil,#REF!,#REF!,#REF!,7.59,56.81,35.6,,,,,,10,8.1,15,132,500,7576.5,0,19.51,1.7,21.4,76.9,,,1.92,3.54,9.59,2.83,0.07
Omaha,OS10,OP22,OS10OP22L2,2.145,86,61,112,,20th and Pierce,41.25,-95.94,,2,Subsurface,HR 1,50.8,60.96,^C2,C,Anthropogenic,2.5Y 2.5/1; 2.5Y 4/2,2.5Y 2.5/1,,,,NA,c,#REF!,#REF!,#REF!,7.6,27.5,64.9,,,,,,10,8,15,305,1066,5681,0,24.7,3.2,36,60.8,,,4,6.5,40.2,0.81,0.07
Omaha,OS1,OP2,OS1OP2L4,0.034,112,102,122,,Adams,41.29,-95.97,,4,Subsurface,HR 1,20.32,101.6,2Bt1,B,Aeolian,10YR 3/1,10YR 3/1,,,,NA,sicl,#REF!,#REF!,#REF!,7.7,53.5,38.8,,,,,,,7.7,23,198,837,4175,0,22.5,2.3,31,66.7,,,2.1,6.3,23.8,1.04,0.07
Omaha,OS9,OP20,OS9OP20L1,,,0,20,,Paxton,41.3,-95.97,,1,Surface,Surface,20.32,,^A1,A,Anthropogenic,10YR 3/2,10YR 3/2,,,,NA,sicl,#REF!,#REF!,#REF!,7.7,63.2,29.2,,,,,,,7.7,47,415,494,3714,0,20.2,5.3,20.4,74.3,,,15.8,6.4,12.6,2.86,0.22
Omaha,OS7,OP15,OS7OP15L1,,,0,61,,Hitchcock,41.21,-95.98,,1,Surface,Surface,60.96,,^A1,A,Anthropogenic,10YR 3/2,10YR 3/2,,,,NA,sicl,#REF!,#REF!,#REF!,7.8,59.1,33.2,,,,,,,6.9,64,383,527,2846,0,19.6,5,22.4,72.6,,,5.9,3.3,12.9,3.49,0.2
Cincinnati,CIS26,CIP52,CIS26CIP52L2,0,98,20,105,,Mayfield Park,34.12,-84.57,NATIVE,2,Subsurface,HR 1,85,20,Btx1,B,,10YR 5/6,10YR 5/6,10YR,5,6,NA,sic,#REF!,#REF!,#REF!,8.02,49.44,42.54,,,,,,0,5.2,3,97,392,2566.4,12.3,28.65,0.9,11.4,44.8,,,0.64,1.3,49.08,0.21,0.04
Omaha,OS4,OP7,OS4OP7L1,,,0,41,,Fontonelle,41.29,-95.98,,1,Surface,Surface,40.64,,A1,A,Aeolian,10YR 3/2,10YR 3/2,,,,NA,sicl,#REF!,#REF!,#REF!,8.1,60.2,31.7,,,,,,,5.7,34,392,479,3154,5.7,25.7,3.9,15.5,58.4,,,2.5,2.9,40.8,2.41,0.22
Omaha,OS8,OP17,OS8OP17L1,,,0,36,,Leavenworth,41.25,-95.96,,1,Surface,Surface,35.56,,^A,A,Anthropogenic,10YR 3/2,10YR 3/2,,,,NA,sicl,#REF!,#REF!,#REF!,8.1,62.3,29.6,,,,,,,7.3,126,565,520,3533,0,20.8,7,20.9,72.2,,,12.2,3.9,18.6,2.58,0.25
Cincinnati,CIS2,CIP4,CIS2CIP4L1,,,0,20,0.103448276,,39.13,-84.56,FILL,1,Surface,Surface,20,,^C1,C,Anthropogenic,2.5Y 5/4,2.5Y 5/4,2.5Y,5,4,NA,sicl,#REF!,#REF!,#REF!,8.13,64.54,27.33,,,,,,10,7.83,21,95,377,4705.8,0,18.39,1.3,17.1,81.6,,,1.76,2.95,37.23,1.31,0.07
Omaha,OS9,OP19,OS9OP19L5,0.061,297,147,447,,Paxton,41.3,-95.96,,5,Subsurface,HR 1,299.72,147.32,2C1,C,Alluvial,10YR 2/1,10YR 2/1,,,,NA,sil,#REF!,#REF!,#REF!,8.2,65.7,26,,,,,,,7.6,38,199,933,4252,0,23.3,2.2,33.4,64.4,,,1.9,6,9.7,1.33,0.09
Omaha,OS15,OP33,OS15OP33L2,0.036,97,41,152,,Upland,41.2,-95.96,,2,Subsurface,HR 1,111.76,40.64,Bt1,B,Aeolian,10YR 4/1,10YR 4/1,,,,NA,sic,#REF!,#REF!,#REF!,8.2,46,45.8,,,,,,,7.7,36,340,673,3959,0,21.5,4.1,26.1,69.8,,,16.7,6.6,13.6,1.36,0.12
New Orleans,NS17,NP17,NS17NP17L3,,,30,122,,,29.96,-90.11,Vacant Lot,3,Subsurface,HR 1,91.44,30.48,2Cg1,C,Alluival,,,10YR,5,1,NA,c,#REF!,#REF!,#REF!,8.3,12.6,79.1,,,,,,,7.8,3,317,827,4869,0,22.7,3.6,30.4,66.1,,,2.4,5.4,8.3,0.82,0.1
Omaha,OS2,OP4,OS2OP4L1,,,0,30,,Bemis,41.27,-95.97,,1,Surface,Surface,30.48,,^A1,A,Anthropogenic,10YR 3/3,10YR 3/3,,,,NA,sil,#REF!,#REF!,#REF!,8.3,67.3,24.4,,,,,,,7.5,69,316,696,4544,0,21.6,3.7,26.8,69.4,,,8,5.1,47,3.17,0.31
Cincinnati,CIS15,CIP30,CIS15CIP30L1,,,0,30,0.12,,39.13,-84.55,NATIVE,1,Surface,Surface,30,,^Au,A,Anthropogenic/Till/Residual,10YR 4/2,10YR 4/2,10YR,4,2,NA,sil,#REF!,#REF!,#REF!,8.42,48.24,43.35,,,,,,20,7.86,20,186,292,5739.9,0,17.91,2.7,13.6,83.8,,,21.49,15.07,10.42,3.87,0.29
Cincinnati,CIS5,CIP9,CIS5CIP9L4,,,145,240,,,39.13,-84.56,NATIVE,4,Subsurface,HR 1,95,145,^C4u,C,,10YR 6/4,10YR 6/4,10YR,6,4,NA,sic,#REF!,#REF!,#REF!,8.53,54.91,36.56,,,,,,20,8.2,27,127,298,6628.1,0,17.81,1.8,13.9,84.2,,,2.05,2.58,8.79,2.05,0.07
Omaha,OS15,OP33,OS15OP33L1,,,0,41,,Upland,41.2,-95.96,,1,Surface,Surface,40.64,,Ap,A,Aeolian,10YR 3/2,10YR 3/2,,,,NA,sic,#REF!,#REF!,#REF!,8.6,46.6,44.7,,,,,,,7.3,75,562,588,3901,0,21.3,6.8,23,70.3,,,25.1,6.3,13.4,1.98,0.17
Omaha,OS5,OP10,OS5OP10L1,,,0,25,,Gallagher,41.29,-96,,1,Surface,Surface,25.4,,^A,A,Anthropogenic,10YR 3/2,10YR 3/2,,,,NA,sicl,#REF!,#REF!,#REF!,8.9,63.4,27.7,,,,,,,6.3,91,400,513,2640,2.2,20.7,5,20.6,63.8,,,6.7,2.7,12.1,2.45,0.26
